uid,nama,deskripsi,rating_avg,rating_total,price_level,price_label,status,status_label,kategori,address,area_type,kecamatan,kodepos,latitude,longitude,shortLink,createTime
1c6b52cc-6b34-4c3c-8e72-e8680b6b1801,"Lets Go Chicken, Babelan Bekasi",,4.1,0.0,1,Murah,1,Aktif,"Ayam & bebek, Cepat saji","Jalan Raya Babelan, Tera Damai, Babelan Kota, Kabupaten Bekasi, Jawa Barat, Jawa, 17610, Indonesia",Kabupaten Bekasi,Babelan Kota,17610,-6.188882,107.038997,https://gofood.link/u/krnLP,2019-09-10T17:08:20.940Z
dd9cc696-0431-4f25-b900-c08f9295b251,"Pan & Flip, Metropolitan Mall",,4.8,0.0,3,Mahal,1,Aktif,"Pizza & pasta, Aneka nasi, Ayam & bebek","Metropolitan Mall, Jalan K. H. Noer Ali, Rawa Panjang, Kayuringinjaya, Kota Bekasi, Jawa Barat, Jawa, 17148, Indonesia",Kota Bekasi,Kayuringinjaya,17148,-6.248481,106.991019,https://gofood.link/u/kxKeP,2017-04-18T03:41:32.659Z
d46c13ca-b315-4897-9026-a2a8648fdca7,"Sederhana SA, Harapan Indah",,4.7,0.0,2,Menengah,1,Aktif,"Aneka nasi, Martabak, Sate","Kota Harapan Indah, Medansatria, Kota Bekasi, Jawa Barat, Jawa, 17132, Indonesia",Kota Bekasi,Medansatria,17132,-6.1878086,106.9764735,https://gofood.link/u/kxMqG,2017-01-23T09:12:09.178Z
d5154579-c470-430f-85d2-bc75ca9df34f,"Nasi Kebuli Nabawi (Stand 2), Ujung Harapan",,0.0,0.0,3,Mahal,1,Aktif,"Aneka nasi, Timur Tengah, Jajanan","Jalan Raya Ujung Harapan, Kaliabang Tengah, Kota Bekasi, Jawa Barat, Jawa, 17125, Indonesia",Kota Bekasi,Kaliabang Tengah,17125,-6.189539002905417,107.005913592875,https://gofood.link/u/kxnpa,2018-10-17T10:13:21.514Z
1ddde5d1-fd53-4bf0-8e8e-b6bec48ecf9c,"Pondok Bakmi Mas Suryo, Pondok Gede",,4.8,0.0,2,Menengah,1,Aktif,"Aneka nasi, Bakmie","Jatibening, Kota Bekasi, Jawa Barat, Jawa, 17412, Indonesia",Kota Bekasi,,17412,-6.255008,106.944561,https://gofood.link/u/l0nq,2018-01-04T10:35:34.382Z
0d235f9a-c0cd-44d6-bf79-9735c48e7209,"Sate Domba Hj. Rahmah Khas Betawi, Jatimelati",,4.5,0.0,2,Menengah,1,Aktif,"Bakso & soto, Sate","Alam Besakih, Puri Gading, Jatiwarna, Kota Bekasi, Jawa Barat, Jawa, 17415, Indonesia",Kota Bekasi,Jatiwarna,17415,-6.309538,106.938535,https://gofood.link/u/l1eq,2017-12-18T03:01:39.642Z
4fc69872-b2a8-4831-9215-b11d1b31a66e,"Dum Dum Thai Drinks Express, Revo Town Bekasi",,4.8,0.0,2,Menengah,1,Aktif,"Minuman, Thailand, Sweets, Kopi","Revo Town, Jalan Tol Jakarta–Cikampek, Rawa Panjang, Margajaya, Kota Bekasi, Jawa Barat, Jawa, 17148, Indonesia",Kota Bekasi,Margajaya,17148,-6.25447,106.989706,https://gofood.link/u/l1jl,2017-10-27T17:43:48.956Z
d9b1128a-cb29-49b9-a46f-79311ec7e230,"Ayam Bakar 69, Jatimurni",,2.6,0.0,2,Menengah,1,Aktif,"Cepat saji, Ayam & bebek, Bakmie","Alam Raya 2, Puri Gading, Jatimurni, Kota Bekasi, Jawa Barat, Jawa, 17426, Indonesia",Kota Bekasi,Jatimurni,17426,-6.323082669009194,106.9349805638194,https://gofood.link/u/lGW9q,2018-04-26T07:15:49.847Z
a93d1399-1086-4626-92e0-746c22f4cc90,"Mie Ayam & Bakso Amarilis 2, Palem Raya",,4.8,0.0,2,Menengah,1,Aktif,Bakmie,"Trias, Tridayasakti, Kabupaten Bekasi, Jawa Barat, Jawa, 17519, Indonesia",Kabupaten Bekasi,Tridayasakti,17519,-6.2447766,107.0812366,https://gofood.link/u/lGaaK,2017-11-24T04:00:43.131Z
62e5ef13-5a28-4238-8261-0aab866afe22,"Bakso Rudal Pakde Sasak, Cipayung",,4.3,0.0,2,Menengah,1,Aktif,Bakso & soto,"Green Park Residence, Jatimurni, Kota Bekasi, Jawa Barat, Jawa, 17415, Indonesia",Kota Bekasi,Jatimurni,17415,-6.319331,106.924005,https://gofood.link/u/lP28a,2018-08-29T03:54:33.250Z
