nama,kategori,kecamatan,price_label,rating_avg,deskripsi,shortLink,is_kuesioner,photo_url,photo_source
"Waroeng Spesial Sambal SS, Bekasi",Ayam & bebek,Medan Satria,10rb - 25rb,4.8,,https://gofood.link/u/pMDr,0,https://api.jajanbekasi.web.id/foto/20_Waroeng_Spesial_Sambal_SS_Bekasi.jpg,cached
"Haagen-Dazs Kiosk, Summarecon Mall Bekasi",Sweets,Bekasi Utara,>100rb,4.8,,https://gofood.link/u/yJ2d,0,https://api.jajanbekasi.web.id/foto/Haagen-Dazs_Kiosk_Summarecon_Mall_Bekasi.jpg,gofood_og
"The Harvest Cakes, Bekasi","Roti, Kopi, Sweets",Bekasi Utara,>100rb,4.4,,https://gofood.link/a/yM8WcYL,0,,
"Doner Kebab, Summarecon Mall Bekasi",Jajanan,Bekasi Utara,50rb - 100rb,4.7,,https://gofood.link/u/J3Dn9,0,,
"KFC, Summarecon Mall Bekasi",Cepat saji,Bekasi Utara,50rb - 100rb,4.7,,https://gofood.link/a/yM9fKdu,0,,
"Koi Teppanyaki, Summarecon Mall Bekasi",Jepang,Bekasi Utara,50rb - 100rb,4.6,,https://gofood.link/u/eJrW8,0,,
"Sushi Tei, Summarecon Mall Bekasi",Jepang,Bekasi Utara,50rb - 100rb,4.7,,https://gofood.link/u/qvGkv,0,,
"Nasi Pecel Pincuk D'Box Countainer, Bekasi Timur","Aneka nasi, Cepat saji",Bekasi Timur,10rb - 25rb,4.0,,https://gofood.link/u/RAB3WJ,0,,
"Pancious, Summarecon Mall Bekasi","Minuman, Pizza & pasta, Barat",Bekasi Utara,>100rb,4.6,,https://gofood.link/u/ggKdg,0,,
"Gokana Ramen & Teppan, Metropolitan Mall Bekasi","Jepang, Aneka nasi, Bakmie, Thailand",Bekasi Selatan,50rb - 100rb,4.6,Periode 17 juni s/d 02 juli akan dikenakan biaya surcharge 10% dari total transaksi sebelum biaya delivery,https://gofood.link/u/LO1Z4,0,,
