displayName,ratings,priceLevel,tags,areaName
Nanny's Pavillon By Altima Group - Summarecon Mall Bekasi,"{'average': 4.6, 'total': 0}",3,"[{'key': 'tenants/gofood/tags/CUISINE_PIZZA_PASTA', 'tenantUid': 'gofood', 'uid': 'CUISINE_PIZZA_PASTA', 'displayName': 'Pizza & pasta', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_BURGER_SANDWICH_STEAK', 'tenantUid': 'gofood', 'uid': 'CUISINE_BURGER_SANDWICH_STEAK', 'displayName': 'Barat', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_SWEETS_DESSERTS', 'tenantUid': 'gofood', 'uid': 'CUISINE_SWEETS_DESSERTS', 'displayName': 'Sweets', 'description': '', 'taxonomy': 2, 'parentKey': ''}]","Summarecon Mall Bekasi, Jalan Bulevar Ahmad Yani, Summarecon Bekasi, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia"
"Warlin Curry & Indian Food, Bekasi Timur","{'average': 4.5, 'total': 0}",2,"[{'key': 'tenants/gofood/tags/CUISINE_INDIAN_FOOD', 'tenantUid': 'gofood', 'uid': 'CUISINE_INDIAN_FOOD', 'displayName': 'India', 'description': '', 'taxonomy': 2, 'parentKey': ''}]","Bekasi Jaya, Kota Bekasi, Jawa Barat, Jawa, 17112, Indonesia"
"Eastern Kopi TM, Summarecon Mall Bekasi","{'average': 4.7, 'total': 0}",3,"[{'key': 'tenants/gofood/tags/CUISINE_COFFEE_SHOP', 'tenantUid': 'gofood', 'uid': 'CUISINE_COFFEE_SHOP', 'displayName': 'Kopi', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_SWEETS_DESSERTS', 'tenantUid': 'gofood', 'uid': 'CUISINE_SWEETS_DESSERTS', 'displayName': 'Sweets', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_SNACKS_JAJANAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_SNACKS_JAJANAN', 'displayName': 'Jajanan', 'description': '', 'taxonomy': 2, 'parentKey': ''}]","Summarecon Mall Bekasi, Jalan Bulevar Ahmad Yani, Summarecon Bekasi, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia"
"TOUS les JOURS, Summarecon Mall Bekasi","{'average': 4.7, 'total': 0}",3,"[{'key': 'tenants/gofood/tags/CUISINE_ROTI', 'tenantUid': 'gofood', 'uid': 'CUISINE_ROTI', 'displayName': 'Roti', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_MINUMAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_MINUMAN', 'displayName': 'Minuman', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_KOREAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_KOREAN', 'displayName': 'Korea', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_SWEETS_DESSERTS', 'tenantUid': 'gofood', 'uid': 'CUISINE_SWEETS_DESSERTS', 'displayName': 'Sweets', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_COFFEE_SHOP', 'tenantUid': 'gofood', 'uid': 'CUISINE_COFFEE_SHOP', 'displayName': 'Kopi', 'description': '', 'taxonomy': 2, 'parentKey': ''}]","Summarecon Mall Bekasi, Jalan Bulevar Ahmad Yani, Summarecon Bekasi, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia"
"Domino's Pizza, Bekasi Cyber Park","{'average': 4.7, 'total': 0}",3,"[{'key': 'tenants/gofood/tags/CUISINE_PIZZA_PASTA', 'tenantUid': 'gofood', 'uid': 'CUISINE_PIZZA_PASTA', 'displayName': 'Pizza & pasta', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_FASTFOOD', 'tenantUid': 'gofood', 'uid': 'CUISINE_FASTFOOD', 'displayName': 'Cepat saji', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_SNACKS_JAJANAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_SNACKS_JAJANAN', 'displayName': 'Jajanan', 'description': '', 'taxonomy': 2, 'parentKey': ''}]","Bekasi Cyber Park, Jalan K. H. Noer Ali, Rawa Panjang, Kayuringinjaya, Kota Bekasi, Jawa Barat, Jawa, 17144, Indonesia"
"Excelso Coffee, Summarecon Mall Bekasi","{'average': 4.9, 'total': 0}",3,"[{'key': 'tenants/gofood/tags/CUISINE_SWEETS_DESSERTS', 'tenantUid': 'gofood', 'uid': 'CUISINE_SWEETS_DESSERTS', 'displayName': 'Sweets', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_COFFEE_SHOP', 'tenantUid': 'gofood', 'uid': 'CUISINE_COFFEE_SHOP', 'displayName': 'Kopi', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_SNACKS_JAJANAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_SNACKS_JAJANAN', 'displayName': 'Jajanan', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_MINUMAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_MINUMAN', 'displayName': 'Minuman', 'description': '', 'taxonomy': 2, 'parentKey': ''}]","Summarecon Mall Bekasi, Jalan Bulevar Ahmad Yani, Summarecon Bekasi, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia"
"Koba BBQ, Summarecon Mall Bekasi","{'average': 4.5, 'total': 0}",3,[],"Summarecon Mall Bekasi, Jalan Bulevar Ahmad Yani, Summarecon Bekasi, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia"
"Puyo Silky Desserts, Summarecon Mall Bekasi","{'average': 4.7, 'total': 0}",3,"[{'key': 'tenants/gofood/tags/CUISINE_SWEETS_DESSERTS', 'tenantUid': 'gofood', 'uid': 'CUISINE_SWEETS_DESSERTS', 'displayName': 'Sweets', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_SNACKS_JAJANAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_SNACKS_JAJANAN', 'displayName': 'Jajanan', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_MINUMAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_MINUMAN', 'displayName': 'Minuman', 'description': '', 'taxonomy': 2, 'parentKey': ''}]","Summarecon Mall Bekasi, Jalan Bulevar Ahmad Yani, Summarecon Bekasi, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia"
"Bakso Lapangan Tembak Senayan, Summarecon Mall Bekasi - Kyati Group","{'average': 4.8, 'total': 0}",3,"[{'key': 'tenants/gofood/tags/CUISINE_SOTO_BAKSO_SOP', 'tenantUid': 'gofood', 'uid': 'CUISINE_SOTO_BAKSO_SOP', 'displayName': 'Bakso & soto', 'description': '', 'taxonomy': 2, 'parentKey': ''}]","Summarecon Mall Bekasi, Jalan Bulevar Ahmad Yani, Summarecon Bekasi, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia"
"Auntie Anne's, Summarecon Mall Bekasi","{'average': 4.5, 'total': 0}",3,"[{'key': 'tenants/gofood/tags/CUISINE_MINUMAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_MINUMAN', 'displayName': 'Minuman', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_SNACKS_JAJANAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_SNACKS_JAJANAN', 'displayName': 'Jajanan', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_SWEETS_DESSERTS', 'tenantUid': 'gofood', 'uid': 'CUISINE_SWEETS_DESSERTS', 'displayName': 'Sweets', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_ROTI', 'tenantUid': 'gofood', 'uid': 'CUISINE_ROTI', 'displayName': 'Roti', 'description': '', 'taxonomy': 2, 'parentKey': ''}]","Summarecon Mall Bekasi, Jalan Bulevar Ahmad Yani, Summarecon Bekasi, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia"
